market,metric,group,bin,ticker_count
cn,median_one_tick_pct,kept,5%~10%,0
cn,median_one_tick_pct,kept,>10%,0
cn,median_one_tick_pct,filtered_tick,<=0.1%,0
cn,median_one_tick_pct,filtered_tick,0.1%~0.5%,0
cn,median_one_tick_pct,filtered_tick,0.5%~1%,0
cn,median_one_tick_pct,filtered_tick,1%~2%,0
cn,median_one_tick_pct,filtered_tick,2%~5%,0
cn,median_one_tick_pct,filtered_tick,5%~10%,0
cn,median_one_tick_pct,filtered_tick,>10%,0
th,median_one_tick_pct,all,<=0.1%,0
th,median_one_tick_pct,all,0.1%~0.5%,0
th,median_one_tick_pct,all,0.5%~1%,0
th,median_one_tick_pct,all,1%~2%,0
th,median_one_tick_pct,all,2%~5%,0
th,median_one_tick_pct,all,5%~10%,0
th,median_one_tick_pct,all,>10%,0
th,median_one_tick_pct,kept,<=0.1%,0
th,median_one_tick_pct,kept,0.1%~0.5%,0
th,median_one_tick_pct,kept,0.5%~1%,0
th,median_one_tick_pct,kept,1%~2%,0
th,median_one_tick_pct,kept,2%~5%,0
th,median_one_tick_pct,kept,5%~10%,0
th,median_one_tick_pct,kept,>10%,0
th,median_one_tick_pct,filtered_tick,<=0.1%,0
th,median_one_tick_pct,filtered_tick,0.1%~0.5%,0
th,median_one_tick_pct,filtered_tick,0.5%~1%,0
th,median_one_tick_pct,filtered_tick,1%~2%,0
th,median_one_tick_pct,filtered_tick,2%~5%,0
th,median_one_tick_pct,filtered_tick,5%~10%,0
th,median_one_tick_pct,filtered_tick,>10%,0
fr,median_one_tick_pct,all,<=0.1%,0
fr,median_one_tick_pct,all,0.1%~0.5%,0
fr,median_one_tick_pct,all,0.5%~1%,0
fr,median_one_tick_pct,all,1%~2%,0
fr,median_one_tick_pct,all,2%~5%,0
fr,median_one_tick_pct,all,5%~10%,0
fr,median_one_tick_pct,all,>10%,0
fr,median_one_tick_pct,kept,<=0.1%,0
fr,median_one_tick_pct,kept,0.1%~0.5%,0
fr,median_one_tick_pct,kept,0.5%~1%,0
fr,median_one_tick_pct,kept,1%~2%,0
fr,median_one_tick_pct,kept,2%~5%,0
fr,median_one_tick_pct,kept,5%~10%,0
fr,median_one_tick_pct,kept,>10%,0
fr,median_one_tick_pct,filtered_tick,<=0.1%,0
fr,median_one_tick_pct,filtered_tick,0.1%~0.5%,0
fr,median_one_tick_pct,filtered_tick,0.5%~1%,0
fr,median_one_tick_pct,filtered_tick,1%~2%,0
fr,median_one_tick_pct,filtered_tick,2%~5%,0
fr,median_one_tick_pct,filtered_tick,5%~10%,0
fr,median_one_tick_pct,filtered_tick,>10%,0
